type,rounds,wsr,ksr,mar,kmsr,rt
no-generalization,1.739,0.014,0.016,0.053,0.069,0.337
random truncation,5.268,0.042,0.048,0.104,0.152,0.463
truncation at terminator,2.911,0.024,0.027,0.076,0.102,0.396
truncation on the maximum AST subtree range,4.179,0.034,0.04,0.133,0.173,0.53
keep with 0.9,1.902,0.015,0.018,0.056,0.073,0.33
keep with 0.8,1.938,0.015,0.017,0.055,0.072,0.354
keep with 0.7,2.357,0.019,0.021,0.06,0.081,0.356
keep with 0.6,2.589,0.021,0.024,0.062,0.085,0.371
