type,rounds,wsr,ksr,mar,kmsr,rt
no-generalization,1.586,0.013,0.015,0.05,0.064,0.348
random truncation,2.714,0.022,0.023,0.057,0.08,0.542
truncation at terminator,1.875,0.015,0.016,0.053,0.069,0.458
truncation on the maximum AST subtree range,2.482,0.02,0.023,0.077,0.1,0.561
keep with 0.9,1.679,0.014,0.015,0.05,0.066,0.359
keep with 0.8,1.768,0.014,0.016,0.051,0.067,0.391
keep with 0.7,1.866,0.015,0.017,0.048,0.065,0.411
keep with 0.6,1.964,0.016,0.017,0.05,0.067,0.416
